Capital,Latitud,Longitud
Bogotá,4.710989,-74.072092
Cartagena de Indias,10.393228,-75.483231
Cali,3.451647,-76.531985
Pereira,4.808717,-75.690601
Manizales,5.062974,-75.502770
Medellín,6.248607,-75.574247
Barranquilla,11.004107,-74.806981
Neiva,2.934484,-75.2809
San Andrés,12.556732,-81.718525
Santa Marta,11.240355,-74.211023
Armenia,4.535,-75.675689
Bucaramanga,7.119349,-73.122742
Villavicencio,4.149169,-73.628548
Yopal,5.348903,-72.400523
Pasto,1.205884,-77.285787
Quibdó,5.695633,-76.649812
Ibagué,4.444676,-75.242438
Riohacha,11.538415,-72.916784
Valledupar,10.474245,-73.243634
Popayán,2.444814,-76.61474
Leticia,-4.203165,-69.935907
Arauca,7.076172,-70.710457
Cúcuta,7.889097,-72.49669
Florencia,1.615386,-75.604236
Inírida,3.870204,-67.924336
Mocoa,1.147794,-76.648128
San José del Guaviare,2.567761,-72.639654
Tunja,5.544642,-73.357557
Mitú,1.252174,-70.233618
Puerto Carreño,6.189912,-67.48257
Montería,8.750983,-75.878535
Sincelejo,9.304577,-75.390557